Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45731;LONQUIMAY;13:22:00;TOMÉ;16-03-25;23:30:00;TOMÉ;S/M;2;4;ARRASTRE;;15;3;2025;;35;33;35.55;73;2;73.03333333;LCOL;SI;45731;0.949305556;36560;00:00:00;35.48333333;73;0;73;-35.48333333;-73;16-03-25;00:41:00;227;;;114;1.9;2;;;113;VII;96;1536;;0;0;;0;0;;808.4210526;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45731;LONQUIMAY;13:22:00;TOMÉ;16-03-25;23:30:00;TOMÉ;S/M;3;4;ARRASTRE;;16;3;2025;;35;38;35.63333333;73;4;73.06666667;LCOL;SI;45732;0.114583333;36560;00:00:00;35.58333333;73;3;73.05;-35.58333333;-73.05;16-03-25;04:49:00;226;FANGO;;124;2.066666667;2;;;113;VII;405;6480;;4;64;;0;0;;3135.483871;30.96774194;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45731;LONQUIMAY;13:22:00;TOMÉ;16-03-25;23:30:00;TOMÉ;S/M;4;4;ARRASTRE;;16;3;2025;;35;38;35.63333333;73;4;73.06666667;LCOL;SI;45732;0.313194444;36560;00:00:00;35.58333333;73;3;73.05;-35.58333333;-73.05;16-03-25;09:31:00;224;;;120;2;2;;;113;VII;438;7008;;5;80;;0;0;;3504;40;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45731;LONQUIMAY;13:22:00;TOMÉ;16-03-25;23:30:00;TOMÉ;S/M;5;4;ARRASTRE;;16;3;2025;;35;37;35.61666667;73;4;73.06666667;LCOL;SI;45732;0.503472222;36560;00:00:00;35.6;73;3;73.05;-35.6;-73.05;16-03-25;13:55:00;226;;;60;1;2;;;113;VII;148;2368;;0;0;;0;0;;2368;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45734;ALTAIR I;23:08:00;TOMÉ;20-03-25;08:00:00;TOMÉ;8;2;4;ARRASTRE;;19;3;2025;;35;34;35.56666667;73;2;73.03333333;LCOL;SI;45735;0.370138889;36560;00:00:00;35.51666667;73;1;73.01666667;-35.51666667;-73.01666667;19-03-25;10:24:00;221;;;91;1.516666667;2;SW;4;113;VII;310;4960;;0;0;;0;0;;3270.32967;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45734;ALTAIR I;23:08:00;TOMÉ;20-03-25;08:00:00;TOMÉ;8;3;4;ARRASTRE;;19;3;2025;;35;33;35.55;73;2;73.03333333;LCOL;SI;45735;0.628472222;36560;00:00:00;35.51666667;73;1;73.01666667;-35.51666667;-73.01666667;19-03-25;16:02:00;221;;;57;0.95;2;SW;4;113;VII;293.75;4700;;11.875;190;;0;0;;4947.368421;200;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45734;ALTAIR I;23:08:00;TOMÉ;20-03-25;08:00:00;TOMÉ;8;4;4;ARRASTRE;;19;3;2025;;35;34;35.56666667;73;2;73.03333333;LCOL;SI;45735;0.693055556;36560;00:00:00;35.53333333;73;1;73.01666667;-35.53333333;-73.01666667;19-03-25;19:38:00;219;;;60;1;2;SW;3;113;VII;237.5;3800;;15;240;;0;0;;3800;240;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45734;ALTAIR I;23:08:00;TOMÉ;20-03-25;08:00:00;TOMÉ;8;5;4;ARRASTRE;;19;3;2025;;35;32;35.53333333;73;4;73.06666667;LCOL;SI;45735;0.849305556;36560;00:00:00;35.58333333;73;2;73.03333333;-35.58333333;-73.03333333;19-03-25;21:56:00;214;FANGO;10.8;92;1.533333333;2;SW;3;113;VII;246.875;3950;;5;80;;0;0;;2576.086957;52.17391304;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45739;ANTARES;20:45:00;SAN ANTONIO;25-03-25;15:45:00;TOMÉ;13;6;4;ARRASTRE;;25;3;2025;;35;32;35.53333333;73;1;73.01666667;LCOL;SI;45741;0.343055556;36560;00:00:00;35.55;73;1;73.01666667;-35.55;-73.01666667;25-03-25;08:40:00;185;;;26;0.433333333;2;CALMA;;113;VII;113;1808;;0;0;;0;0;;4172.307692;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
COMERCIAL;45742;TIRANA II;15:25:00;TOMÉ;28-03-25;01:00:00;TOMÉ;S/M;1;4;ARRASTRE;;26;3;2025;;35;37;35.61666667;73;3;73.05;LCOL;SI;45742;0.965277778;36560;00:00:00;35.6;73;2;73.03333333;-35.6;-73.03333333;26-03-25;23:50:00;210;FANGO;11;40;0.666666667;2;S;2;113;VII;112.5;1800;;18.75;300;;0;0;;2700;450;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45742;TIRANA II;15:25:00;TOMÉ;28-03-25;01:00:00;TOMÉ;S/M;2;4;ARRASTRE;;27;3;2025;;35;38;35.63333333;73;3;73.05;LCOL;SI;45743;0.055555556;36560;00:00:00;35.6;73;2;73.03333333;-35.6;-73.03333333;27-03-25;02:30:00;2047;;;70;1.166666667;2;CALMA;;113;VII;168.75;2700;;28.125;450;;0;0;;2314.285714;385.7142857;0;LCOL/LAM;LCOL;LAM;LAN;CARRANZA
COMERCIAL;45742;TIRANA II;15:25:00;TOMÉ;28-03-25;01:00:00;TOMÉ;S/M;3;4;ARRASTRE;;27;3;2025;;35;39;35.65;73;3;73.05;LCOL;SI;45743;0.1875;36560;00:00:00;35.6;73;2;73.03333333;-35.6;-73.03333333;27-03-25;06:00:00;195;;;90;1.5;2;CALMA;;113;VII;331.25;5300;;0;0;;0;0;;3533.333333;0;0;LCOL;LCOL;LAN;LAN;CARRANZA
